year,positiveness,negativeness,neutrality,sureness,total articles
1966,0.306,0.505,0.188,0.706,186
1967,0.0,0.8,0.2,0.733,10
1968,0.288,0.481,0.231,0.674,52
1969,0.327,0.449,0.224,0.707,98
1970,0.26,0.514,0.226,0.677,146
1971,0.365,0.432,0.203,0.689,296
1972,0.308,0.442,0.25,0.668,104
1973,0.425,0.375,0.2,0.687,280
1974,0.339,0.45,0.211,0.689,171
1975,0.43,0.395,0.175,0.69,263
1976,0.353,0.475,0.172,0.69,238
1977,0.342,0.457,0.201,0.706,313
1978,0.408,0.408,0.184,0.709,632
1979,0.331,0.507,0.162,0.703,643
